,Mixed Material,,,,,,,Process Data,,,,,,Seed Experiment,,,,Prediction
Reference,Mixture_main,Mixture_secondary,pH_m,"EC_m
(ms/cm)","MC_m
(%)",C/N_m,Additive,"Duration_time
(day)","T_ambient
(℃)","T_p
(℃)",pH_p,"EC_p
(ms/cm)","Aeration
( L/kg(dry mass)·min)",Seed,weight/volume,"Grow_time
(day)","Grow_T
(℃）","GI_p
(%)"
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,21.0059,18.8652,28.0851,7.57565,1.97321,0.02,Cabbage,0.1,3,25,35.1613
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,28.1065,19.0071,24.3972,7.67956,1.86607,0.02,Cabbage,0.1,3,25,57.4194
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,38.9546,7.94326,12.1986,8.37501,1.6875,0.02,Cabbage,0.1,3,25,67.4194
S6,Food Waste,sawdust,5.86,3.518,60,26.31,1,49.0138,8.08511,10.7801,8.42209,1.61607,0.02,Cabbage,0.1,3,25,90
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,0.0986193,18.0142,20.1418,5.84816,3.50893,0.02,Cabbage,0.1,3,25,0
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,2.07101,19.8582,39.5745,4.07502,3.09821,0.02,Cabbage,0.1,3,25,2.90323
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,7.00197,19.0071,52.766,5.67271,2.82143,0.02,Cabbage,0.1,3,25,7.41935
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,14.0039,19.0071,43.4043,6.08982,2.40179,0.02,Cabbage,0.1,3,25,12.2581
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,21.2032,18.8652,31.4894,6.83844,2.16964,0.02,Cabbage,0.1,3,25,23.5484
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,28.1065,19.0071,23.5461,8.53677,1.88393,0.02,Cabbage,0.1,3,25,44.8387
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,38.9546,7.94326,11.6312,8.91173,1.75893,0.02,Cabbage,0.1,3,25,61.6129
S6,Food Waste,sawdust,5.84,3.51,60,26.27,0,49.0138,8.08511,10.4965,8.65259,1.70536,0.02,Cabbage,0.1,3,25,85.8065
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,0.128205,29.1857,33.4853,6.25,2.72623,0,Radish,0.5,3,25,69.0303
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,3.07692,27.6221,59.2834,5.99675,2.73607,0,Radish,0.5,3,25,70.303
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,6.02564,28.5993,45.2117,6.40584,2.84426,0,Radish,0.5,3,25,72.4242
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,9.10256,28.5993,42.2801,6.89286,3.05082,0,Radish,0.5,3,25,73.4848
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,12.0513,28.013,37.3941,7.10714,3.1,0,Radish,0.5,3,25,75.1818
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,15.1282,28.013,34.2671,7.30195,3.24754,0,Radish,0.5,3,25,77.4091
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,18.0769,29.1857,31.1401,7.50649,3.3459,0,Radish,0.5,3,25,78.7879
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,21.1538,28.5993,30.1629,7.44805,3.58197,0,Radish,0.5,3,25,82.1818
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,24.1026,28.2085,29.5765,7.31169,3.88689,0,Radish,0.5,3,25,83.8788
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,27.1795,28.2085,29.9674,7.12662,3.99508,0,Radish,0.5,3,25,84.9394
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,30.1282,28.013,30.1629,7.10714,3.9459,0,Radish,0.5,3,25,85.3636
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,33.0769,28.4039,29.772,7.07792,3.85738,0,Radish,0.5,3,25,85.5758
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,36.1538,28.5993,29.9674,7.03896,3.68033,0,Radish,0.5,3,25,86.4242
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,39.2308,28.2085,29.9674,7.00974,3.63115,0,Radish,0.5,3,25,85.5758
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,42.0513,27.6221,29.772,6.99026,3.61148,0,Radish,0.5,3,25,86
S7,Garden waste,Food Waste,6.25,2.72,67.37,28.84,0,45.1282,28.4039,29.772,6.97078,3.61148,0,Radish,0.5,3,25,86.6364
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,0.128205,29.1857,33.4853,6.42532,2.73607,0,Radish,0.5,3,25,68.2879
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,3.07692,27.6221,61.2378,6.1039,2.87377,0,Radish,0.5,3,25,71.4697
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,6.02564,28.5993,49.316,6.30844,3.07049,0,Radish,0.5,3,25,74.6515
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,9.10256,28.5993,42.0847,6.70779,3.42459,0,Radish,0.5,3,25,77.8333
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,12.0513,28.013,37.5896,7.10714,3.99508,0,Radish,0.5,3,25,80.0606
S7,Garden waste,Food Waste,6.42,2.74,70.03,28.03,1,15.2564,28.013,34.8534,7.39935,4.1918,0,Radish,0.5,3,25,82.1818
